Brand,Model,Type,Price_Range,Image_Url,cc_value
Bajaj,Bajaj Freedom 125,Petrol,90,976 - 1.11 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/cng-bike/source/cng-bike68a6c473dccee.jpg,124
Bajaj,Bajaj Dominar 250,Petrol,1.77 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/2025-dominar-250/source/2025-dominar-25068d233ae03c6c.jpg,248
Bajaj,Bajaj Pulsar NS400Z,Petrol,1.93 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/pulsar-ns400z/source/pulsar-ns400z68d23739caee4.jpg,373
Bajaj,Bajaj Pulsar N125,Petrol,91,692 - 93,158,https://cdn.bikedekho.com/processedimages/bajaj/pulsar-n125/source/pulsar-n12568d23595d57d6.jpg,124
Bajaj,Bajaj Platina 100,Petrol,65,407,https://cdn.bikedekho.com/processedimages/bajaj/platina-100/source/platina-10068a6c4ad34f70.jpg,102
Bajaj,Bajaj CT 110X,Petrol,67,284,https://cdn.bikedekho.com/processedimages/bajaj/ct110/source/ct11068d2324b2074b.jpg,115
Bajaj,Bajaj Avenger Cruise 220,Petrol,1.37 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/bajaj-avenger-cruise/source/bajaj-avenger-cruise68d231f1733f1.jpg,220
Bajaj,Bajaj Avenger Street 160,Petrol,1.12 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/avenger-160/source/avenger-16068a6c375e54b9.jpg,160
Bajaj,Bajaj Avenger 220 Street,Petrol,1.43 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/avenger-220-street/source/avenger-220-street64ddac5d6f89a.jpg,220
KTM,KTM 200 Duke,Petrol,1.91 Lakh,https://cdn.bikedekho.com/processedimages/ktm/2023-200-duke/source/2023-200-duke68a70e9cc5ffe.jpg,199
KTM,KTM Duke 390,Petrol,2.97 Lakh,https://cdn.bikedekho.com/processedimages/ktm/2021-390-duke/source/2021-390-duke68ce6d54acf66.jpg,398
KTM,KTM 160 Duke,Petrol,1.71 Lakh,https://cdn.bikedekho.com/processedimages/ktm/160-duke/source/160-duke68b1534f6a0ee.jpg,164
KTM,KTM 250 Duke,Petrol,2.12 Lakh,https://cdn.bikedekho.com/processedimages/ktm/2024-250-duke/source/2024-250-duke68ce501b2f5b7.jpg,249
KTM,KTM RC 390,Petrol,3.23 Lakh,https://cdn.bikedekho.com/processedimages/ktm/2021-rc-390/source/2021-rc-39068ce56b5dffad.jpg,373
KTM,KTM 390 Adventure,Petrol,3.68 Lakh,https://cdn.bikedekho.com/processedimages/ktm/390-adventure-s/source/390-adventure-s68ce524170ab4.jpg,398
KTM,KTM 250 Adventure,Petrol,2.40 Lakh,https://cdn.bikedekho.com/processedimages/ktm/2025-250-adventure/source/2025-250-adventure68ce4fb77d50c.jpg,249
KTM,KTM 1390 Super Duke R,Petrol,22.96 Lakh,https://cdn.bikedekho.com/processedimages/ktm/1390-super-duke-r/source/1390-super-duke-r68ce55ec79fff.jpg,1350
KTM,KTM RC 200,Petrol,2.15 Lakh,https://cdn.bikedekho.com/processedimages/ktm/2021-rc-200/source/2021-rc-20068ce5643c52c7.jpg,199
KTM,KTM 390 Adventure X,Petrol,3.04 Lakh,https://cdn.bikedekho.com/processedimages/ktm/2025-390-adventure-x/source/2025-390-adventure-x68ce52ae2afa0.jpg,398
